"","Entry","Yield","SE","CI_L","CI_U"
"68","MON200389-MON200132-MON101065-MON101068-MON101082",188.878450001636,13.7546881398083,161.914807320671,215.842092682601
"69","MON200389-MON200325-MON101065-MON101068-MON101082",189.998200001636,13.7546881398083,163.034557320671,216.961842682601
"70","MON200397-MON101065-MON101068-MON101082",193.571025001636,13.7546881398083,166.607382320672,220.534667682601
"71","MON200428-MON101065-MON101068-MON101082",197.707250001636,13.7546881398083,170.743607320671,224.670892682601
"72","MON200479-MON101065-MON101068-MON101082",198.187875001636,13.7546881398083,171.224232320671,225.151517682601
"73","MON200483-MON101065-MON101082-MON101068",204.646325001636,13.7546881398083,177.682682320671,231.609967682601
"74","MON201001-MON101065-MON101082-MON101068",174.329800001636,13.7546881398083,147.366157320671,201.293442682601
"75","MON201002-MON101065-MON101082-MON101068",185.973075001636,13.7546881398083,159.009432320671,212.936717682601
"76","MON201003-MON101065-MON101082-MON101068",191.191325001636,13.7546881398083,164.227682320672,218.154967682601
"77","MON201004-MON101065-MON101082-MON101068",192.689225001636,13.7546881398083,165.725582320671,219.652867682601
"78","MON201005-MON101065-MON101082-MON101068",184.806825001636,13.7546881398083,157.843182320672,211.770467682601
"79","MON201006-MON101065-MON101082-MON101068",168.265575001636,13.7546881398083,141.301932320671,195.229217682601
"80","MON201007-MON101065-MON101082-MON101068",180.239221996444,14.2724211553885,152.26065495701,208.217789035878
"81","MON201008-MON101065-MON101082-MON101068",179.744850001636,13.7546881398083,152.781207320672,206.708492682601
"82","MON201009-MON101065-MON101082-MON101068",190.911025001636,13.7546881398083,163.947382320672,217.874667682601
"83","MON201010-MON101065-MON101082-MON101068",192.636225001636,13.7546881398083,165.672582320671,219.599867682601
"84","MON201011-MON101065-MON101082-MON101068",180.445375001636,13.7546881398083,153.481732320672,207.409017682601
"85","MON201012-MON101065-MON101082-MON101068",181.575750001636,13.7546881398083,154.612107320672,208.539392682601
"86","MON201013-MON101065-MON101082-MON101068",185.077975001636,13.7546881398083,158.114332320672,212.041617682601
"87","MON201014-MON101065-MON101082-MON101068",184.363150001636,13.7546881398083,157.399507320672,211.326792682601
"88","MON201015-MON101065-MON101082-MON101068",177.179550001636,13.7546881398083,150.215907320672,204.143192682601
"89","MON201016-MON101065-MON101082-MON101068",168.586375001636,13.7546881398083,141.622732320672,195.550017682601
"90","MON201017-MON101065-MON101082-MON101068",194.177175001636,13.7546881398083,167.213532320672,221.140817682601
"91","MON201018-MON101065-MON101082-MON101068",187.718900001636,13.7546881398083,160.755257320672,214.682542682601
"92","MON201019-MON101065-MON101082-MON101068",184.710375001636,13.7546881398083,157.746732320672,211.674017682601
"93","MON201020-MON101065-MON101082-MON101068",185.288275001636,13.7546881398083,158.324632320672,212.251917682601
"94","MON201021-MON101065-MON101082-MON101068",185.569550001636,13.7546881398083,158.605907320672,212.533192682601
"95","MON201022-MON101065-MON101082-MON101068",191.837121996444,14.2724211553885,163.85855495701,219.815689035878
"96","MON201023-MON101065-MON101082-MON101068",188.488775001636,13.7546881398083,161.525132320672,215.452417682601
"97","MON201024-MON101065-MON101082-MON101068",184.664388663111,14.2724211553885,156.685821623677,212.642955702545
"98","MON201025-MON101065-MON101082-MON101068",186.547225001636,13.7546881398083,159.583582320672,213.510867682601
"99","MON201026-MON101065-MON101082-MON101068",176.198750001636,13.7546881398083,149.235107320672,203.162392682601
"100","MON201027-MON101065-MON101082-MON101068",184.409375001636,13.7546881398083,157.445732320672,211.373017682601
"101","MON201028-MON101065-MON101082-MON101068",179.675275001636,13.7546881398083,152.711632320672,206.638917682601
"102","MON201029-MON101065-MON101082-MON101068",194.827000001636,13.7546881398083,167.863357320672,221.790642682601
"103","MON201030-MON101065-MON101082-MON101068",198.867721996444,14.2724211553885,170.88915495701,226.846289035878
"104","MON201031-MON101065-MON101082-MON101068",182.797175001636,13.7546881398083,155.833532320672,209.760817682601
"105","MON201032-MON101065-MON101082-MON101068",189.361550001636,13.7546881398083,162.397907320672,216.325192682601
"106","MON201033-MON101065-MON101082-MON101068",186.070000001636,13.7546881398083,159.106357320672,213.033642682601
"107","MON201034-MON101065-MON101082-MON101068",171.844525001636,13.7546881398083,144.880882320672,198.808167682601
"108","MON201035-MON101065-MON101082-MON101068",183.184225001636,13.7546881398083,156.220582320672,210.147867682601
"109","MON201036-MON101065-MON101082-MON101068",185.306200001636,13.7546881398083,158.342557320672,212.269842682601
"110","MON201037-MON101065-MON101082-MON101068",195.745583801285,15.2552702629195,165.840314253193,225.650853349377
"111","MON201038-MON101065-MON101082-MON101068",173.523600001636,13.7546881398083,146.559957320672,200.487242682601
"112","MON201039-MON101065-MON101082-MON101068",181.484925001636,13.7546881398083,154.521282320672,208.448567682601
"113","MON201040-MON101065-MON101082-MON101068",182.824975001636,13.7546881398083,155.861332320672,209.788617682601
"114","MON201041-MON101065-MON101082-MON101068",189.700821996444,14.2724211553885,161.72225495701,217.679389035878
"115","MON201042-MON101065-MON101082-MON101068",180.433475001636,13.7546881398083,153.469832320672,207.397117682601
"116","MON201043-MON101065-MON101082-MON101068",185.277888663111,14.2724211553885,157.299321623677,213.256455702545
