factor1,absoluteRange,absoluteColumn,locationID,repId,response
"MON101065,MON101082,MON101068",1,1,ARJO,1,150.0696
"MON101065,MON101082,MON101068",1,1,ARJO,1,153.7357
"MON101065,MON101082,MON101068",1,1,ARJO,1,177.0345
"MON101065,MON101082,MON101068",1,1,ARJO,1,163.7319
"MON101065,MON101082,MON101068",1,1,ARJO,1,142.3201
"MON201287,MON101065,MON101082,MON101068",1,1,ARJO,1,164.0869
"MON201286,MON101065,MON101082,MON101068",1,1,ARJO,1,164.5879
"MON201285,MON101065,MON101082,MON101068",1,1,ARJO,1,166.9854
"MON201274,MON101065,MON101082,MON101068",1,1,ARJO,1,162.8374
"MON201273,MON101065,MON101082,MON101068",1,1,ARJO,1,189.3399
"MON201272,MON101065,MON101082,MON101068",1,1,ARJO,1,164.4363
"MON201271,MON101065,MON101082,MON101068",1,1,ARJO,1,191.4964
"MON201270,MON101065,MON101082,MON101068",1,1,ARJO,1,163.2641
"MON201269,MON101065,MON101082,MON101068",1,1,ARJO,1,198.5185
"MON201268,MON101065,MON101082,MON101068",1,1,ARJO,1,181.5817
"MON201267,MON101065,MON101082,MON101068",1,1,ARJO,1,167.7737
"MON201266,MON101065,MON101082,MON101068",1,1,ARJO,1,168.2742
"MON201265,MON101065,MON101082,MON101068",1,1,ARJO,1,139.7781
"MON101065,MON101082,MON101068",1,1,ARJO,1,176.9099
"MON101065,MON101082,MON101068",1,1,ARJO,1,173.7935
"MON101065,MON101082,MON101068",1,1,ARJO,1,164.8372
"MON101065,MON101082,MON101068",1,1,ARJO,1,160.7696
"MON101065,MON101082,MON101068",1,1,ARJO,1,170.4378
"MON101065,MON101082,MON101068",1,1,ARJO,1,151.1544
"MON201343,MON101065,MON101082,MON101068",1,1,ARJO,1,158.259
"MON201344,MON101065,MON101082,MON101068",1,1,ARJO,1,150.4893
"MON201345,MON101065,MON101082,MON101068",1,1,ARJO,1,171.7223
"MON201346,MON101065,MON101082,MON101068",1,1,ARJO,1,180.6855
"MON201347,MON101065,MON101082,MON101068",1,1,ARJO,1,167.1097
"MON201348,MON101065,MON101082,MON101068",1,1,ARJO,1,182.4937
"MON201349,MON101065,MON101082,MON101068",1,1,ARJO,1,193.2946
"MON201350,MON101065,MON101082,MON101068",1,1,ARJO,1,155.8914
"MON201351,MON101065,MON101082,MON101068",1,1,ARJO,1,168.1895
"MON201352,MON101065,MON101082,MON101068",1,1,ARJO,1,144.7609
"MON201324,MON101065,MON101082,MON101068",1,1,ARJO,1,158.7812
"MON201323,MON101065,MON101082,MON101068",1,1,ARJO,1,169.0535
"MON201322,MON101065,MON101082,MON101068",1,1,ARJO,1,153.1864
"MON201321,MON101065,MON101082,MON101068",1,1,ARJO,1,146.8935
"MON201320,MON101065,MON101082,MON101068",1,1,ARJO,1,156.8705
"MON201319,MON101065,MON101082,MON101068",1,1,ARJO,1,179.222
"MON201318,MON101065,MON101082,MON101068",1,1,ARJO,1,166.4107
"MON201317,MON101065,MON101082,MON101068",1,1,ARJO,1,154.5216
"MON201316,MON101065,MON101082,MON101068",1,1,ARJO,1,186.2587
"MON201315,MON101065,MON101082,MON101068",1,1,ARJO,1,160.3288
"MON201304,MON101065,MON101082,MON101068",1,1,ARJO,1,169.4076
"MON201303,MON101065,MON101082,MON101068",1,1,ARJO,1,141.2531
"MON201302,MON101065,MON101082,MON101068",1,1,ARJO,1,170.8649
"MON201301,MON101065,MON101082,MON101068",1,1,ARJO,1,174.1083
"MON201300,MON101065,MON101082,MON101068",1,1,ARJO,1,160.0081
"MON201299,MON101065,MON101082,MON101068",1,1,ARJO,1,182.3869
"MON201298,MON101065,MON101082,MON101068",1,1,ARJO,1,180.9541
"MON201297,MON101065,MON101082,MON101068",1,1,ARJO,1,140.4967
"MON201296,MON101065,MON101082,MON101068",1,1,ARJO,1,166.9453
"MON201295,MON101065,MON101082,MON101068",1,1,ARJO,1,171.2102
"MON201284,MON101065,MON101082,MON101068",1,1,ARJO,1,167.2499
"MON201283,MON101065,MON101082,MON101068",1,1,ARJO,1,159.3367
"MON201282,MON101065,MON101082,MON101068",1,1,ARJO,1,158.8446
"MON201281,MON101065,MON101082,MON101068",1,1,ARJO,1,138.9092
"MON201280,MON101065,MON101082,MON101068",1,1,ARJO,1,162.857
"MON201279,MON101065,MON101082,MON101068",1,1,ARJO,1,169.9607
"MON201278,MON101065,MON101082,MON101068",1,1,ARJO,1,197.8538
"MON201277,MON101065,MON101082,MON101068",1,1,ARJO,1,153.7911
"MON201276,MON101065,MON101082,MON101068",1,1,ARJO,1,182.1893
"MON201264,MON101065,MON101082,MON101068",1,1,ARJO,1,157.5998
"MON201263,MON101065,MON101082,MON101068",1,1,ARJO,1,177.436
"MON201262,MON101065,MON101082,MON101068",1,1,ARJO,1,157.5182
"MON201261,MON101065,MON101082,MON101068",1,1,ARJO,1,189.9164
