job_output_id,configuration_id,observation_code,end_time
"""1YGSD5cCTv22jlhzJKgxz95PsSV""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:01:51.13
"""1YGSGMBIn87xLkZwE2sCAzwhWlq""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:02:15.518
"""1YGSLXF0JJK5xvVwHwMOj7d0mO3""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:02:59.578
"""1YGSOkiKqFFeuZwIMm9pj9BObfs""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:03:22.851
"""1YGSXBH2ar9aSL7fafFdpZsHR6p""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:04:31.641
"""1YGSaLu0dddfZEt0LPMPOqKO4ao""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:04:53.476
"""1YGSenGITacQ2slKQrFCtg0wiAv""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:05:32.777
"""1YGSi5DUylWWUgcnvMEmx3hMAxV""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:05:55.706
"""1YGSmE30Qg2KgiKsKMMZPOjDhFS""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:06:31.185
"""1YGSp7e6vnpiZlRPgfPidLys0oE""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:06:54.461
"""1YGSsGCmtCFNC0FmDSgcnNMc5lV""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:07:19.019
"""1YGSxvt76DzDCdkqSqF3i9HQN2J""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:08:04.892
"""1YGT5th806E1UuRPkBsZEQekZru""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:09:07.785
"""1YGT9JBH8DqdOVWiQBlwZ1yrfFh""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:09:33.013
"""1YGTCtxU6wXnfIB9uPGM3lxW8ll""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:10:04.336
"""1YGTGBzBLmv56XkGBWIJyjARms8""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:10:27.352
"""1YGTLdwjdSfbaBmLJnaPU9kwQov""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:11:12.873
"""1YGTOxyX8hGOq8M4XfeR68c2OW5""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:11:36.799
"""1YGTTS7FC996UlTwmquw8Fc5aNA""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:12:15.371
"""1YGTWba7YBklwQ67tUko9rVUwqH""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:12:38.641
"""1YGTd4noUJaZ9Yb956ZL26ATLW1""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:13:31.867
"",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,
"""1YGTmIuTO3oDArD3FClmTz2SEU2""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:14:42.738
"""1YGTtxRoilMOx36DVtqvMBmiAwe""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:15:45.115
"""1YGMH2qvhnaaPiLkmPdrOskytra""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:13:02.39
"""1YGU13vT0O8aGfBgafF0w5lEu4g""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:16:39.708
"""1YGU4SrWleDs3OZ3nutcUQipHx5""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:17:06.829
"",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,
"""1YGU7XVbJr9AQRaqnsfHxIMVFSQ""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:17:34.408
"""1YGUCnxiOpaOSz5hSv482mthZ4d""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:18:13.532
"""1YGUL2TmghaDWHLEdrDXHNiHxdX""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:19:19.993
"""1YGUPHmzhe6ccPcSJ4xGaeE7lrj""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:19:55.825
"""1YGURYuwVGJpixdhsb1f9h1lH74""",ed391b1a-bf41-4cda-8636-427091d8213c,MST,2020-02-24 18:20:13.542
"""1YGUXLIeXnKTM64gnJAjLWNi6w9""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:20:59.699
"""1YGUZXobBw7zeenHV9LlttPZ0qO""",ed391b1a-bf41-4cda-8636-427091d8213c,YLD,2020-02-24 18:21:17.84
"""1YGUcfkR6FDF40CyaVWBf6alAyq""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:21:41.371
"""1YGUiMl5TfI6tRknr9f0kjj0yiK""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:22:23.607
"""1YGUqgGQWoEdCfCaAlaZCcqHX1k""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:23:31.569
"""1YGUvHFpEnctZdSiZamA0M1Evu5""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:24:08.838
"""1YGUyEPHCO2b5T5ViUV62uSfbUL""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:24:33.411
"""1YGV0rc2VTsl7WrGUiKpXxzQGTH""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:24:53.119
"""1YGV6Rohs3YJrcqigPPP3sxnipN""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:25:39.113
"""1YGV8tHSTr6ETOvT9jnOCYTOLCk""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:25:56.714
"",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,
"""1YGVEsLjdISucPGSmtCnbo66471""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:26:45.815
"""1YGVMAJrGzMxBus0ia6EJYBxYA3""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:27:44.54
"""1YGVQ7N1oA4tNgwmZkb9kE9LrTm""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:28:13.011
"""1YGVT91kcxVYiSuJWGEYxDgC3RA""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 18:28:39.386
"""1YGVWhJVDWtvk7891g6zCjw4f0y""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:29:03.876
"""1YGVdMg6KvZ6ZzNZsEjLJLSTIEB""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:29:59.663
"""1YGN8uAmFItOEfAOSRrrGMFnlac""",ed391b1a-bf41-4cda-8636-427091d8213c,YLD,2020-02-24 17:20:11.113
"""1YGVigNZzqimxymMMHd7XyMdQUC""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:30:43.948
"",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,
"""1YGVuMaaLRMLkvrA2M3ijF27uJo""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:32:15.534
"""1YGVxVx4FgYrFeT6K4jTpGWWsmX""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:32:39.817
"""1YGW26oacvqxYNxa3T2tCDs8wtG""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:33:16.016
"""1YGW5PCpA5rYy9tVEo1r59mV2Kj""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:33:44.175
"""1YGW9KodUkbhRBeeP33LlH7DaUI""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:34:11.927
"""1YGWD2hhQD1oyVwGtSwlWGDAi3W""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:34:44.493
"""1YGWGhpUE9CgiXyVXTohz9udSp6""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:35:11.29
"""1YGWQ1fRvLec3noAhhtHcGpeXpX""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:36:26.616
"""1YGWTY1hH1O0U3OMfsL7xdhapL6""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:36:54.59
"""1YGWZdVYycGMzk4e2u0rnjAl5ye""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:37:41.703
"""1YGWeKWQcfC2JNTBRYyn06Khp1Y""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:38:21.778
"""1YGWh2h2k5iR59LAYarZ8GVb8R0""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 18:38:41.419
"""1YGWlfSeB64KPlU90qgCN1OckVi""",ed391b1a-bf41-4cda-8636-427091d8213c,YLD,2020-02-24 18:39:19.671
"""1YGWohOdliENnb5cAcNxfNkFQad""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:39:44.72
"""1YGWxukuZKrYpMlJqCbDveCWo93""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:40:57.302
"",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,
